Identity,Link,Location,Area,Beds,Baths,Price,Balloted,Boundary Wall,Corner,Disputed,Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Park Facing,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply,Distance From Airport (kms)
Residential Plot 47049538,https://www.zameen.com/Property/dha_valley_dha_valley_-_jasmine_sector_dha_valley_sector_jasmine_8_marla_open_file_10k_sur_w_off_12_paid-47049538-3215-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Valley Residential Plots > DHA Valley - Jasmine Sector Residential Plots,241.76,0.0,0.0,1750000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Residential Plot 45099465,https://www.zameen.com/Property/dha_defence_dha_defence_phase_5_1_kanal_plot_for_sale_on_60_ft_road_in_dha_phase_5_sector_c-45099465-10991-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Defence Phase 5 Residential Plots,604.44,0.0,0.0,32000000.0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1.0
Commercial Plot 47180053,https://www.zameen.com/Property/dha_defence_phase_5_expressway_commercial_four_marla_heighted_location_commercial_plot_available_for_sale-47180053-13293-2.html,Islamabad Commercial Plots > DHA Defence Commercial Plots > DHA Defence Phase 5 Commercial Plots > Expressway Commercial Commercial Plots,120.88,0.0,0.0,31000000.0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0.0
Residential Plot 45319702,https://www.zameen.com/Property/dha_valley_dha_valley_-_rose_sector_dha_valley_sector_rose_5_marla_balloted_plot_available_for_sale_dem_29_lac-45319702-3210-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Valley Residential Plots > DHA Valley - Rose Sector Residential Plots,151.1,0.0,0.0,2900000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Residential Plot 46388508,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_-_sector_b_dha2_islamabad_sector_b_plot_for_sale-46388508-3197-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Defence Phase 2 Residential Plots > DHA Phase 2 - Sector B Residential Plots,604.44,0.0,0.0,48500000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Residential Plot 46962110,https://www.zameen.com/Property/dha_defence_phase_5_dha_phase_5_-_sector_a_ready_to_move_residential_plot-46962110-8400-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Defence Phase 5 Residential Plots > DHA Phase 5 - Sector A Residential Plots,604.44,0.0,0.0,35000000.0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0
Residential Plot 46732479,https://www.zameen.com/Property/dha_defence_phase_3_dha_phase_3_-_block_a_1_kanal_residential_plot_available_for_sale_in_dha_phase_3_-_block_a_if_you_hurry-46732479-16228-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Defence Phase 3 Residential Plots > DHA Phase 3 - Block A Residential Plots,604.44,0.0,0.0,32500000.0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0.0
Residential Plot 47015494,https://www.zameen.com/Property/dha_defence_phase_4_dha_phase_4_-_sector_g_good_for_inwastment_time-47015494-13962-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Defence Phase 4 Residential Plots > DHA Phase 4 - Sector G Residential Plots,604.44,0.0,0.0,9800000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Residential Plot 46492455,https://www.zameen.com/Property/dha_defence_phase_3_dha_phase_3_-_block_e_1_kanal_plot_for_sale_in_dha-3_islamabad-46492455-16224-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Defence Phase 3 Residential Plots > DHA Phase 3 - Block E Residential Plots,604.44,0.0,0.0,18000000.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0.0
Residential Plot 47320144,https://www.zameen.com/Property/dha_defence_dha_serene_city_dha_phase_3_sector_d_1_kanal_allocation_for_sale-47320144-14646-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Serene City Residential Plots,604.44,0.0,0.0,17500000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1.0
Plot File 46170201,https://www.zameen.com/Property/dha_valley_dha_valley_-_iris_sector_for_sale_8_marla_residential_plot_file_sector_iris_in_dha_valley_islamabad_good_time_for_invest_further_profit_able-46170201-3223-2.html,Islamabad Plot Files > DHA Defence Plot Files > DHA Valley Plot Files > DHA Valley - Iris Sector Plot Files,241.76,0.0,0.0,2150000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Residential Plot 47185886,https://www.zameen.com/Property/dha_defence_dha_defence_phase_5_reserve_a_residential_plot_now_in_dha_defence_phase_5-47185886-10991-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Defence Phase 5 Residential Plots,1208.88,0.0,0.0,85000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Residential Plot 47266180,https://www.zameen.com/Property/dha_valley_dha_valley_-_eglantine_sector_8_marla_eglantine_open_normal_file_for_sale_in_dha_valley-47266180-3218-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Valley Residential Plots > DHA Valley - Eglantine Sector Residential Plots,241.76,0.0,0.0,1800000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Commercial Plot 47012567,https://www.zameen.com/Property/dha_defence_phase_1_dha_phase_1_-_sector_f_8_marla_commercial_plot_in_dha_sector_f-47012567-8226-2.html,Islamabad Commercial Plots > DHA Defence Commercial Plots > DHA Defence Phase 1 Commercial Plots > DHA Phase 1 - Sector F Commercial Plots,241.76,0.0,0.0,110000000.0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0.0
Residential Plot 47321117,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_-_sector_b_a_top_of_land_plot_for_sale_sector_b_ideal_location_plot_near_to_park_investor_price-47321117-3197-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Defence Phase 2 Residential Plots > DHA Phase 2 - Sector B Residential Plots,392.86,0.0,0.0,25000000.0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1.0
Residential Plot 46279242,https://www.zameen.com/Property/dha_defence_phase_4_dha_phase_4_-_sector_c_south_face_heighted_location_size_50_90_sector_c_dha_phase_4-46279242-13958-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Defence Phase 4 Residential Plots > DHA Phase 4 - Sector C Residential Plots,604.44,0.0,0.0,26500000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Residential Plot 45704867,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_-_sector_e_in_dha_phase_2_-_sector_e_residential_plot_for_sale_sized_1_kanal-45704867-3200-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Defence Phase 2 Residential Plots > DHA Phase 2 - Sector E Residential Plots,604.44,0.0,0.0,46000000.0,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0.0
Residential Plot 47238491,https://www.zameen.com/Property/dha_defence_dha_defence_phase_5_d_h_a_phase5_sector_a_ideal_location_level_plot_best_time_for_the_investors-47238491-10991-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Defence Phase 5 Residential Plots,604.44,0.0,0.0,33500000.0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0.0
Residential Plot 46768766,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_-_sector_e_street_1_south_face_top_location_sector_e_plot_for_sale-46768766-3200-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Defence Phase 2 Residential Plots > DHA Phase 2 - Sector E Residential Plots,604.44,0.0,0.0,57500000.0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1.0
Residential Plot 45433832,https://www.zameen.com/Property/dha_defence_phase_5_dha_phase_5_-_sector_f_top_heighted_solid_land_1_kanal_for_sale_in_sec_f_dha_phase_5-45433832-8836-2.html,Islamabad Residential Plots > DHA Defence Residential Plots > DHA Defence Phase 5 Residential Plots > DHA Phase 5 - Sector F Residential Plots,604.44,0.0,0.0,29500000.0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1.0
Commercial Plot 46971865,https://www.zameen.com/Property/dha_defence_dha_defence_phase_5_d_h_a_phase_5_top_class_5_marla_commercial_plot_for_sale_at_investor_rate-46971865-10991-2.html,Islamabad Commercial Plots > DHA Defence Commercial Plots > DHA Defence Phase 5 Commercial Plots,151.1,0.0,0.0,70000000.0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0.0
