Identity,Link,Location,Area,Beds,Baths,Price,ATM Machines,Balloted,Barbeque Area,Broadband Internet Access,Business Center or Media Room in Building,Central Air Conditioning,Central Heating,Communal/Shared Kitchen,Community Centre,Community Gym,Community Lawn or Garden,Community Swimming Pool,Conference Room in Building,Day Care Centre,Dining Room,Double Glazed Windows,Drawing Room,Electricity,Electricity Backup,Facilities for Disabled,File,First Aid or Medical Centre,Flooring,Furnished,Gym,Intercom,Jacuzzi,Kids Play Area,Laundry Room,Laundry or Dry Cleaning Facility,Lawn or Garden,Lobby in Building,Lounge or Sitting Room,Maintenance Staff,Mosque,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Pet Policy,Possesion,Powder Room,Prayer Room,Satellite or Cable TV Ready,Sauna,Security Staff,Service Elevators in Building,Sewerage,Steam Room,Study Room,Sui Gas,Swimming Pool,Waste Disposal,Water Supply,Built in year,Distance From Airport (kms),Elevators,Floor,Floors,Floors in Building,Kitchens,Parking Spaces,Servant Quarters,Store Rooms
House 46877135,https://www.zameen.com/Property/dha_defence_dha_9_town_8_marla_house_available_for_sale_on_beautiful_location-46877135-1452-1.html,Lahore Houses > DHA Defence Houses > DHA 9 Town Houses,241.76,3.0,4.0,32500000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
House 46211750,https://www.zameen.com/Property/dha_phase_3_dha_phase_3_-_block_xx_luxurious_living_awaits_discover_an_exquisite_8-marla_house_in_dha_phase_3_block_xx-46211750-1586-1.html,Lahore Houses > DHA Defence Houses > DHA Phase 3 Houses > DHA Phase 3 - Block XX Houses,241.76,3.0,4.0,38000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
House 47276206,https://www.zameen.com/Property/dha_9_town_dha_9_town_-_block_c_5_marla_house_available_for_sale_in_dha_phase_9_town-47276206-8175-1.html,Lahore Houses > DHA Defence Houses > DHA 9 Town Houses > DHA 9 Town - Block C Houses,151.1,3.0,4.0,23000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
House 47302458,https://www.zameen.com/Property/dha_defence_dha_phase_6_top_class_design_1_kanal_brand_new_bungalow_for_sell_in_phase_6_dha-47302458-1448-1.html,Lahore Houses > DHA Defence Houses > DHA Phase 6 Houses,604.44,5.0,6.0,79000000.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,2023.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0
House 47080690,https://www.zameen.com/Property/dha_9_town_dha_9_town_-_block_b_5-marla_corner_brand_new_house_block-b_available_for_sale-47080690-8174-1.html,Lahore Houses > DHA Defence Houses > DHA 9 Town Houses > DHA 9 Town - Block B Houses,151.1,3.0,4.0,17600000.0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,2023.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0
House 46398582,https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_w_1_kanal_slightly_used_house-46398582-1630-1.html,Lahore Houses > DHA Defence Houses > DHA Phase 7 Houses > DHA Phase 7 - Block W Houses,604.44,5.0,6.0,76000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
House 47191206,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_d_brand_new_house_in_dha_phase_6_d_block-47191206-1613-1.html,Lahore Houses > DHA Defence Houses > DHA Phase 6 Houses > DHA Phase 6 - Block D Houses,604.44,5.0,6.0,35000000.0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,2023.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0
House 46950359,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_k_corner_brand_new_art_of_state_designer_house_for_sale_at_dha_lahore-46950359-1619-1.html,Lahore Houses > DHA Defence Houses > DHA Phase 6 Houses > DHA Phase 6 - Block K Houses,664.8840000000001,6.0,6.0,82500000.0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,2023.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0
House 47086803,https://www.zameen.com/Property/dha_defence_dha_phase_7_1_kanal_luxurious_brand_new_bungalow_dha_phase_7-47086803-1450-1.html,Lahore Houses > DHA Defence Houses > DHA Phase 7 Houses,604.44,5.0,6.0,67000000.0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,2.0,2.0
House 47149877,https://www.zameen.com/Property/dha_defence_dha_9_town_5_marla_brand_new_hot_location_beautifully_designed_modern_house_for_sale_dha_phase_9_town-47149877-1452-1.html,Lahore Houses > DHA Defence Houses > DHA 9 Town Houses,151.1,3.0,4.0,20800000.0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,2023.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0
House 46418357,https://www.zameen.com/Property/dha_defence_dha_phase_7_1_kanal_brand_new_modern_house-46418357-1450-1.html,Lahore Houses > DHA Defence Houses > DHA Phase 7 Houses,604.44,5.0,6.0,85000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
House 45995263,https://www.zameen.com/Property/dha_phase_5_dha_phase_5_-_block_d_5_marla_modern_house_for_sale-45995263-1601-1.html,Lahore Houses > DHA Defence Houses > DHA Phase 5 Houses > DHA Phase 5 - Block D Houses,151.1,3.0,4.0,28500000.0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2023.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0
House 46952087,https://www.zameen.com/Property/dha_defence_dha_phase_4_10_marla_used_but_well_maintained_house_for_sale_in_dha_phase_4-46952087-1446-1.html,Lahore Houses > DHA Defence Houses > DHA Phase 4 Houses,302.2,4.0,5.0,42500000.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
House 46655354,https://www.zameen.com/Property/dha_phase_5_dha_phase_5_-_block_l_modern_kanal_bungalow_for_sale-46655354-1608-1.html,Lahore Houses > DHA Defence Houses > DHA Phase 5 Houses > DHA Phase 5 - Block L Houses,604.44,5.0,6.0,80000000.0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,2022.0,1.0,0.0,0.0,2.0,0.0,1.0,4.0,2.0,1.0
