Identity,Link,Location,Area,Beds,Baths,Price,Balloted,Boundary Wall,Corner,Disputed,Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Park Facing,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply,Distance From Airport (kms)
Residential Plot 46564985,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_o_sector_o_5_marla_plot_for_sale_investment_opportunity_buy_plot-46564985-11974-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector O Residential Plots,151.1,0.0,0.0,5000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Residential Plot 46024408,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_h_plot_for_sale_sector_h_possession_utility_paid_extreme_top_location_bahria_enclave_islamabad-46024408-11983-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector H Residential Plots,151.1,0.0,0.0,9200000.0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1.0
Commercial Plot 47047959,https://www.zameen.com/Property/bahria_town_bahria_enclave_sector_b_4_marla_commercial_plot_for_sale-47047959-1705-2.html,Islamabad Commercial Plots > Bahria Town Commercial Plots > Bahria Enclave Commercial Plots,120.88,0.0,0.0,24500000.0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1.0
Residential Plot 46974328,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_b1_sector_b1_5_marla_plot_for_sale-46974328-11972-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector B1 Residential Plots,151.1,0.0,0.0,11200000.000000002,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1.0
Residential Plot 47206431,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_a_10_marla_residential_plot_for_sale_in_bahria_enclave_sector_a-47206431-11970-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector A Residential Plots,302.2,0.0,0.0,20000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Residential Plot 47269478,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_n_pair_plot_sector_n_5_marla_plot_residential_plot_for_sale-47269478-11975-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector N Residential Plots,151.1,0.0,0.0,6500000.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0.0
Residential Plot 45530626,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c2_residential_10_marla_double_category_plot_with_extra_land_plot_available_for_sale_near_to_main_gate_of_bahria_enclave_islamabad-45530626-11988-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector C2 Residential Plots,302.2,0.0,0.0,24000000.0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1.0
Residential Plot 46883739,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_i_sector_i_5_marla_new_deal_open_form_heighted_location_sunfacing_solid_land_plot_for_sale-46883739-11982-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector I Residential Plots,151.1,0.0,0.0,6500000.0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1.0
Residential Plot 47107802,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_f1_8_marla_general_category_possession_plot_for_sale_in_bahria_enclave_sector_f_1-47107802-11986-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector F1 Residential Plots,241.76,0.0,0.0,10300000.0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1.0
Residential Plot 45991007,https://www.zameen.com/Property/bahria_town_bahria_enclave_2_residential_plot_in_bahria_enclave_2_for_sale-45991007-8368-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave 2 Residential Plots,6286.176,0.0,0.0,414400000.0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1.0
Commercial Plot 45865409,https://www.zameen.com/Property/bahria_town_bahria_enclave_2_get_your_dream_commercial_plot_in_bahria_enclave_2_islamabad-45865409-8368-2.html,Islamabad Commercial Plots > Bahria Town Commercial Plots > Bahria Enclave 2 Commercial Plots,151.1,0.0,0.0,20000000.0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1.0
Commercial Plot 46461057,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_b1_commercial_plot_for_sale_in_sector_b-1_bahria_enclave_islamabad-46461057-11972-2.html,Islamabad Commercial Plots > Bahria Town Commercial Plots > Bahria Enclave Commercial Plots > Bahria Enclave - Sector B1 Commercial Plots,120.88,0.0,0.0,31500000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Commercial Plot 47029717,https://www.zameen.com/Property/bahria_town_bahria_enclave_5_73_kanal_commercial_plot_is_available_for_sale_in_bahria_enclave-47029717-1705-2.html,Islamabad Commercial Plots > Bahria Town Commercial Plots > Bahria Enclave Commercial Plots,3445.3080000000004,0.0,0.0,343800000.0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0.0
Residential Plot 46857622,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c1_10_marla_boulevard_possession_utility_paid_top_location_plot_for_sale_c1-46857622-11987-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector C1 Residential Plots,302.2,0.0,0.0,15500000.0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1.0
Residential Plot 47074059,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_n_5marla_residential_plot_in_sector-n_bahria_enclave_islamabad-47074059-11975-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector N Residential Plots,151.1,0.0,0.0,9200000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Residential Plot 46693996,https://www.zameen.com/Property/bahria_town_bahria_enclave_sector_b_10_marla_residential_plots_available_for_sale-46693996-1705-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots,302.2,0.0,0.0,15000000.0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1.0
Residential Plot 46736367,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_o_plot_for_sale_sector_o_park_face_plot_extreme_top_location_bahria_enclave_islamabad-46736367-11974-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector O Residential Plots,241.76,0.0,0.0,7000000.0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1.0
Residential Plot 47339472,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_a_10_marla_residential_plot_in_sector_a-47339472-11970-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector A Residential Plots,302.2,0.0,0.0,20000000.0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0.0
Residential Plot 46916072,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_n_5_marla_ready_to_consturation_plot_is_available_for_sale-46916072-11975-2.html,Islamabad Residential Plots > Bahria Town Residential Plots > Bahria Enclave Residential Plots > Bahria Enclave - Sector N Residential Plots,151.1,0.0,0.0,6600000.0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1.0
